,0
1201,-17.6
1202,-20.6
1203,-1.8
1204,-24.6
1205,-22.200000000000003
1206,-14.0
1207,-10.4
1208,-21.0
1209,4.0
1210,-10.600000000000001
1211,-4.0
1212,-6.4
1213,-4.0
1214,-11.200000000000001
1215,-9.8
1216,-5.4
1217,-18.6
1218,-10.4
1219,-21.8
1220,-18.2
1221,-24.200000000000003
1222,-15.0
1223,-10.600000000000001
1224,-13.200000000000001
1225,-16.0
1226,-14.8
1227,-11.4
1228,-10.600000000000001
1229,1.6
1230,-10.0
1231,-15.200000000000001
1232,-13.4
1233,-24.200000000000003
1234,-14.8
1235,-2.2
1236,-12.600000000000001
1237,-3.8000000000000003
1238,-18.400000000000002
1239,-2.6
1240,-25.0
1241,-17.8
1242,-12.4
1243,-6.2
1244,-6.0
1245,-3.4000000000000004
1246,1.0
1247,-25.400000000000002
1248,-8.6
1249,-7.2
1250,-0.2
1251,-19.0
1252,-6.2
1253,-6.800000000000001
1254,-26.200000000000003
1255,-14.600000000000001
1256,-16.8
1257,-1.2000000000000002
1258,-18.2
1259,-12.4
1260,-11.0
1261,-5.800000000000001
1262,-11.4
1263,-13.4
1264,-3.8000000000000003
1265,0.2
1266,-4.0
1267,-1.8
1268,-10.8
1269,-13.0
1270,-9.600000000000001
1271,-8.200000000000001
1272,-4.800000000000001
1273,0.6000000000000001
1274,-14.8
1275,-6.800000000000001
1276,-1.4000000000000001
1277,-1.2000000000000002
1278,-6.0
1279,0.8
1280,-5.2
1281,-1.6
1282,-4.4
1283,-13.4
1284,-2.0
1285,-5.4
1286,-3.6
1287,-5.4
1288,-3.0
1289,-16.2
1290,-16.400000000000002
1291,-15.0
1292,-19.200000000000003
1293,-4.0
1294,-9.4
1295,-8.4
1296,-3.6
1297,-11.200000000000001
1298,-12.4
1299,-3.8000000000000003
1300,-19.0
1301,-9.8
1302,-0.6000000000000001
1303,-8.4
1304,-6.0
1305,-19.6
1306,-9.4
1307,-2.4000000000000004
1308,-6.6000000000000005
1309,-11.8
1310,-16.6
1311,-12.4
1312,-10.4
1313,-16.8
1314,-6.6000000000000005
1315,-1.6
1316,-11.200000000000001
1317,-8.0
1318,2.4000000000000004
1319,-9.600000000000001
1320,-10.600000000000001
1321,-1.2000000000000002
1322,-5.6000000000000005
1323,0.4
1324,-0.6000000000000001
1325,-0.6000000000000001
1326,-3.6
1327,-13.8
1328,-5.4
1329,0.6000000000000001
1330,-14.8
1331,-21.8
1332,-12.8
1333,-0.6000000000000001
1334,-2.0
1335,-7.4
1336,-0.2
1337,-24.400000000000002
1338,-1.6
1339,-9.600000000000001
1340,-7.2
1341,-4.800000000000001
1342,-15.4
1343,-3.8000000000000003
1344,-10.200000000000001
1345,-13.4
1346,-10.600000000000001
1347,-4.0
1348,-5.2
1349,-16.0
1350,-6.0
1351,2.0
1352,-14.8
1353,-17.0
1354,-14.600000000000001
1355,-7.0
1356,-8.4
1357,-9.600000000000001
1358,0.0
1359,-2.6
1360,-10.200000000000001
1361,-11.0
1362,-9.0
1363,-8.200000000000001
1364,-5.4
1365,-3.6
1366,-6.4
1367,-18.8
1368,-7.6000000000000005
1369,-11.600000000000001
1370,-9.600000000000001
1371,-7.6000000000000005
1372,6.4
1373,-3.0
1374,0.8
1375,-3.4000000000000004
1376,-15.0
1377,-6.800000000000001
1378,-6.4
1379,-1.6
1380,-9.200000000000001
1381,-6.6000000000000005
1382,-10.200000000000001
1383,-16.8
1384,-11.4
1385,-1.4000000000000001
1386,-6.800000000000001
1387,2.4000000000000004
1388,-6.6000000000000005
1389,-14.0
1390,-6.6000000000000005
1391,-10.4
1392,-7.800000000000001
1393,-2.6
1394,0.6000000000000001
1395,-16.400000000000002
1396,5.0
1397,-15.4
1398,-4.0
1399,-3.8000000000000003
1400,-18.0
1401,-6.0
1402,-7.6000000000000005
1403,-3.0
1404,-11.600000000000001
1405,-14.200000000000001
1406,-6.800000000000001
1407,-16.400000000000002
1408,2.4000000000000004
1409,-11.8
1410,-4.2
1411,-6.0
1412,0.2
1413,-11.200000000000001
1414,-10.600000000000001
1415,-3.6
1416,1.2000000000000002
1417,2.0
1418,-1.2000000000000002
1419,1.8
1420,-7.800000000000001
1421,-5.800000000000001
1422,-2.4000000000000004
1423,-5.2
1424,-3.0
1425,-1.0
1426,-6.2
1427,5.0
1428,-0.6000000000000001
1429,1.8
1430,-9.8
1431,-2.2
1432,1.0
1433,-13.4
1434,-11.0
1435,-16.2
1436,0.8
1437,-3.0
1438,-6.2
1439,-1.0
1440,-12.600000000000001
1441,-13.0
1442,2.8000000000000003
1443,1.6
1444,-16.8
1445,-13.4
