,0
763,-132.4
764,-320.8
765,-36.800000000000004
766,-15.0
767,-216.4
768,-139.4
769,-139.8
770,-38.6
771,-22.200000000000003
772,-129.8
773,-33.6
774,-28.200000000000003
775,-49.2
776,-155.20000000000002
777,-135.4
778,-32.4
779,-30.400000000000002
780,-36.4
781,-140.20000000000002
782,-46.2
783,-120.80000000000001
784,-127.2
785,-16.400000000000002
786,-116.0
787,-52.2
788,-40.6
789,-307.8
790,-133.6
791,-27.8
792,-39.800000000000004
793,-39.2
794,-221.0
795,-39.400000000000006
796,-38.6
797,-19.400000000000002
798,-53.800000000000004
799,-49.800000000000004
800,-57.800000000000004
801,-215.0
802,-119.2
803,-34.800000000000004
804,-64.8
805,-118.80000000000001
806,-50.2
807,-36.800000000000004
808,-21.6
809,-20.200000000000003
810,-67.8
811,-44.6
812,-42.6
813,-59.800000000000004
814,-27.200000000000003
815,-42.0
816,-48.0
817,-25.0
818,-25.200000000000003
819,-119.0
820,-29.400000000000002
821,-26.400000000000002
822,-33.2
823,-39.2
824,-116.2
825,-27.8
826,-24.0
827,-29.0
828,-24.400000000000002
829,-10.4
830,-59.0
831,-39.6
832,-38.800000000000004
833,-52.6
834,-65.60000000000001
835,-126.0
836,-37.2
837,-28.400000000000002
838,-122.80000000000001
839,-85.0
840,-17.0
841,-55.400000000000006
842,-10.4
843,-27.6
844,-108.2
845,-131.20000000000002
846,-135.0
847,-15.200000000000001
848,-31.200000000000003
849,-29.6
850,-19.0
851,-216.4
852,-22.0
853,-29.6
854,-116.0
855,-47.0
856,-12.8
857,-62.0
858,-253.60000000000002
859,-206.20000000000002
860,-9.8
861,-26.8
862,-20.0
863,-33.2
864,-36.2
865,-27.6
866,-43.6
867,-32.6
868,-48.2
869,-106.4
870,-33.2
871,-25.0
872,-21.6
873,-119.4
874,-24.8
875,-21.6
876,-34.4
877,-42.0
878,-115.60000000000001
879,-125.2
880,-20.0
881,-132.20000000000002
882,-18.2
883,-22.200000000000003
884,-33.4
885,-137.6
886,-2.2
887,-40.2
888,-194.0
889,-56.2
890,-18.6
891,-64.8
892,-215.8
893,-135.4
894,-29.0
895,-122.60000000000001
896,-227.4
897,-68.4
898,-42.0
899,-11.600000000000001
900,-106.4
901,-133.8
902,-18.400000000000002
903,-46.0
904,-152.20000000000002
905,-135.4
906,-14.600000000000001
907,-27.0
908,-117.60000000000001
909,-99.2
910,-124.2
911,-24.400000000000002
912,-26.0
913,-134.20000000000002
914,-120.60000000000001
915,-103.80000000000001
916,-143.8
917,-223.20000000000002
918,-16.0
919,-27.8
